Startup Name,Industry,Founder(s),City,Year,Asked Amount (INR),Equity Offered (%),Deal Status,Investor(s),Invested Amount (INR),Equity Taken (%),Valuation (INR)
Startup 1,Education,"Tanya Verma, Ravi Patel, Ravi Chopra",Hyderabad,2023,61300000,7.68,Yes, Namita Thapar,40694846,7.44,798177083
Startup 2,Entertainment,Sneha Verma,Hyderabad,2024,9100000,21.53,Yes,"Peyush Bansal, Namita Thapar",6052060,20.28,42266604
Startup 3,Fashion,"Sneha Singh, Rahul Nair, Pooja Mehta",Kolkata,2022,28600000,24.75,Yes,,26802225,27.48,115555555
Startup 4,Education,"Meera Chopra, Meera Mehta, Arjun Mehta",Hyderabad,2024,77400000,15.03,No,,0,0,514970059
Startup 5,Travel,Arjun Chopra,Delhi,2023,1300000,23.89,No,,0,0,5441607
Startup 6,E-commerce,Ravi Sharma,Chennai,2025,16600000,9.97,Yes,Anupam Mittal,15130079,10.09,166499498
Startup 7,Food & Beverage,Meera Nair,Delhi,2024,55000000,21.94,No,,0,0,250683682
Startup 8,Health,"Ravi Patel, Tanya Patel, Amit Sharma",Mumbai,2025,7900000,22.73,No,,0,0,34755829
Startup 9,Tech,"Pooja Kapoor, Meera Patel, Ravi Mehta",Kolkata,2025,81300000,12.35,No,,0,0,658299595
Startup 10,Education,Sneha Chopra,Pune,2022,43000000,12.21,Yes,,42727641,10.25,352170352
Startup 11,Fashion,"Arjun Chopra, Ravi Gupta",Delhi,2025,31300000,6.22,Yes,Vineeta Singh,25568283,6.84,503215434
Startup 12,Fashion,Nidhi Patel,Chennai,2022,14400000,17.12,No,,0,0,84112149
Startup 13,Food & Beverage,"Sneha Patel, Nidhi Kapoor",Delhi,2023,86300000,14.04,No,,0,0,614672364
Startup 14,Entertainment,"Rahul Chopra, Rahul Verma, Arjun Reddy",Mumbai,2021,22500000,17.37,Yes,"Ghazal Alagh, Anupam Mittal, Vineeta Singh",20245298,20.33,129533678
Startup 15,Education,"Rahul Sharma, Karan Verma",Kolkata,2025,21400000,20.6,No,,0,0,103883495
Startup 16,Travel,"Pooja Patel, Amit Patel",Ahmedabad,2021,29500000,21.74,No,,0,0,135694572
Startup 17,Health,Tanya Chopra,Pune,2021,45600000,15.55,Yes,"Ashneer Grover, Namita Thapar, Aman Gupta",40288243,12.45,293247588
Startup 18,Finance,"Karan Kapoor, Ravi Mehta",Hyderabad,2022,69000000,23.57,Yes,,49706216,24.02,292745014
Startup 19,Health,"Arjun Patel, Karan Singh",Pune,2023,46200000,11.61,Yes,Namita Thapar,42388230,13.75,397932816
Startup 20,Food & Beverage,"Sneha Kapoor, Ravi Singh, Nidhi Sharma",Hyderabad,2024,24000000,20.36,Yes,Anupam Mittal,20268230,22.55,117878192
Startup 21,Agriculture,"Tanya Patel, Karan Gupta",Ahmedabad,2025,16100000,16.75,Yes,,15201237,19.33,96119402
Startup 22,Agriculture,"Ravi Chopra, Ravi Gupta, Rahul Gupta",Kolkata,2024,77900000,6.93,No,,0,0,1124098124
Startup 23,E-commerce,"Pooja Kapoor, Meera Sharma",Chennai,2025,28800000,9.06,Yes,Anupam Mittal,25274301,9.81,317880794
Startup 24,Entertainment,"Amit Singh, Karan Gupta, Amit Reddy",Chennai,2022,88300000,22.4,No,,0,0,394196428
Startup 25,E-commerce,"Ravi Singh, Pooja Gupta, Pooja Kapoor",Ahmedabad,2023,3900000,10.33,No,,0,0,37754114
Startup 26,Travel,Meera Reddy,Pune,2022,29400000,19.05,No,,0,0,154330708
Startup 27,Fashion,Meera Verma,Mumbai,2021,23900000,16.6,Yes,Ashneer Grover,23418288,14.6,143975903
Startup 28,Health,"Rahul Patel, Rahul Gupta, Sneha Singh",Hyderabad,2023,72600000,7.15,No,,0,0,1015384615
